External ID,Issue Type,Summary,Description,Epic Name,Epic Ref,Epic Link,Parent External ID,Priority,Story Points,Sprint,Component,Labels,Depends On,Acceptance Criteria,Owner Role,Fix Version
EP-02-ST-03,Story,"Identity, Auth & Policy: Implement primary endpoint or worker flow",Deliver the main functional path with tests and tracing.,,EP-02,EP-02,,Critical,8,Sprint 1,Security,"story,ep-02,security",EP-01,"Given Identity, Auth & Policy, when implement primary endpoint or worker flow, then the deliverable is reviewed, tested, and demoable against the contract pack.",Security Engineer,Release 1
EP-02-ST-04,Story,"Identity, Auth & Policy: Add policy, validation, and error handling","Add guardrails, validation, and standard error envelope behavior.",,EP-02,EP-02,,Critical,5,Sprint 1,Security,"story,ep-02,security",EP-01,"Given Identity, Auth & Policy, when add policy, validation, and error handling, then the deliverable is reviewed, tested, and demoable against the contract pack.",Security Engineer,Release 1
EP-02-ST-05,Story,"Identity, Auth & Policy: Add observability and audit hooks","Emit logs, traces, metrics, and audit events for the area.",,EP-02,EP-02,,Critical,3,Sprint 1,Security,"story,ep-02,security",EP-01,"Given Identity, Auth & Policy, when add observability and audit hooks, then the deliverable is reviewed, tested, and demoable against the contract pack.",Security Engineer,Release 1
EP-02-ST-06,Story,"Identity, Auth & Policy: Integration and demo readiness",Integrate with dependent services and provide demo evidence.,,EP-02,EP-02,,Critical,5,Sprint 1,Security,"story,ep-02,security",EP-01,"Given Identity, Auth & Policy, when integration and demo readiness, then the deliverable is reviewed, tested, and demoable against the contract pack.",Security Engineer,Release 1
EP-02-TS-01,Task,"Identity, Auth & Policy: Test automation","Add unit, integration, and contract tests.",,EP-02,EP-02,EP-02-ST-03,High,3,Sprint 1,Security,"task,qa,ep-02",EP-02-ST-03,Automated tests pass in CI for the scoped area.,QA Engineer,Release 1
EP-02-TS-02,Task,"Identity, Auth & Policy: Documentation","Write service README, runbook, and handoff notes.",,EP-02,EP-02,EP-02-ST-03,Medium,2,Sprint 1,Security,"task,docs,ep-02",EP-02-ST-03,Documentation is complete and reviewed.,Tech Writer,Release 1
EP-03-ST-01,Story,Control Plane Core: Define contract and ADRs,"Create detailed contracts, ADRs, and coding conventions for the area.",,EP-03,EP-03,,Critical,3,Sprint 1,ControlPlane,"story,ep-03,controlplane",EP-01,"Given Control Plane Core, when define contract and adrs, then the deliverable is reviewed, tested, and demoable against the contract pack.",Backend Engineer,Release 1
EP-03-ST-02,Story,Control Plane Core: Implement service skeleton,"Create service repository/module, health checks, config, and CI integration.",,EP-03,EP-03,,Critical,5,Sprint 1,ControlPlane,"story,ep-03,controlplane",EP-01,"Given Control Plane Core, when implement service skeleton, then the deliverable is reviewed, tested, and demoable against the contract pack.",Backend Engineer,Release 1
EP-03-ST-03,Story,Control Plane Core: Implement primary endpoint or worker flow,Deliver the main functional path with tests and tracing.,,EP-03,EP-03,,Critical,8,Sprint 1,ControlPlane,"story,ep-03,controlplane",EP-01,"Given Control Plane Core, when implement primary endpoint or worker flow, then the deliverable is reviewed, tested, and demoable against the contract pack.",Backend Engineer,Release 1
EP-03-ST-04,Story,"Control Plane Core: Add policy, validation, and error handling","Add guardrails, validation, and standard error envelope behavior.",,EP-03,EP-03,,Critical,5,Sprint 1,ControlPlane,"story,ep-03,controlplane",EP-01,"Given Control Plane Core, when add policy, validation, and error handling, then the deliverable is reviewed, tested, and demoable against the contract pack.",Backend Engineer,Release 1
EP-03-ST-05,Story,Control Plane Core: Add observability and audit hooks,"Emit logs, traces, metrics, and audit events for the area.",,EP-03,EP-03,,Critical,3,Sprint 1,ControlPlane,"story,ep-03,controlplane",EP-01,"Given Control Plane Core, when add observability and audit hooks, then the deliverable is reviewed, tested, and demoable against the contract pack.",Backend Engineer,Release 1
EP-03-ST-06,Story,Control Plane Core: Integration and demo readiness,Integrate with dependent services and provide demo evidence.,,EP-03,EP-03,,Critical,5,Sprint 1,ControlPlane,"story,ep-03,controlplane",EP-01,"Given Control Plane Core, when integration and demo readiness, then the deliverable is reviewed, tested, and demoable against the contract pack.",Backend Engineer,Release 1
EP-03-TS-01,Task,Control Plane Core: Test automation,"Add unit, integration, and contract tests.",,EP-03,EP-03,EP-03-ST-03,High,3,Sprint 1,ControlPlane,"task,qa,ep-03",EP-03-ST-03,Automated tests pass in CI for the scoped area.,QA Engineer,Release 1
EP-03-TS-02,Task,Control Plane Core: Documentation,"Write service README, runbook, and handoff notes.",,EP-03,EP-03,EP-03-ST-03,Medium,2,Sprint 1,ControlPlane,"task,docs,ep-03",EP-03-ST-03,Documentation is complete and reviewed.,Tech Writer,Release 1
EP-04-ST-01,Story,Knowledge Plane: Define contract and ADRs,"Create detailed contracts, ADRs, and coding conventions for the area.",,EP-04,EP-04,,High,3,Sprint 4,Knowledge,"story,ep-04,knowledge",EP-03,"Given Knowledge Plane, when define contract and adrs, then the deliverable is reviewed, tested, and demoable against the contract pack.",ML Engineer,Release 1
EP-04-ST-02,Story,Knowledge Plane: Implement service skeleton,"Create service repository/module, health checks, config, and CI integration.",,EP-04,EP-04,,High,5,Sprint 4,Knowledge,"story,ep-04,knowledge",EP-03,"Given Knowledge Plane, when implement service skeleton, then the deliverable is reviewed, tested, and demoable against the contract pack.",ML Engineer,Release 1
EP-04-ST-03,Story,Knowledge Plane: Implement primary endpoint or worker flow,Deliver the main functional path with tests and tracing.,,EP-04,EP-04,,High,8,Sprint 4,Knowledge,"story,ep-04,knowledge",EP-03,"Given Knowledge Plane, when implement primary endpoint or worker flow, then the deliverable is reviewed, tested, and demoable against the contract pack.",ML Engineer,Release 1
EP-04-ST-04,Story,"Knowledge Plane: Add policy, validation, and error handling","Add guardrails, validation, and standard error envelope behavior.",,EP-04,EP-04,,High,5,Sprint 4,Knowledge,"story,ep-04,knowledge",EP-03,"Given Knowledge Plane, when add policy, validation, and error handling, then the deliverable is reviewed, tested, and demoable against the contract pack.",ML Engineer,Release 1
EP-04-ST-05,Story,Knowledge Plane: Add observability and audit hooks,"Emit logs, traces, metrics, and audit events for the area.",,EP-04,EP-04,,High,3,Sprint 4,Knowledge,"story,ep-04,knowledge",EP-03,"Given Knowledge Plane, when add observability and audit hooks, then the deliverable is reviewed, tested, and demoable against the contract pack.",ML Engineer,Release 1
EP-04-ST-06,Story,Knowledge Plane: Integration and demo readiness,Integrate with dependent services and provide demo evidence.,,EP-04,EP-04,,High,5,Sprint 4,Knowledge,"story,ep-04,knowledge",EP-03,"Given Knowledge Plane, when integration and demo readiness, then the deliverable is reviewed, tested, and demoable against the contract pack.",ML Engineer,Release 1
EP-04-TS-01,Task,Knowledge Plane: Test automation,"Add unit, integration, and contract tests.",,EP-04,EP-04,EP-04-ST-03,High,3,Sprint 4,Knowledge,"task,qa,ep-04",EP-04-ST-03,Automated tests pass in CI for the scoped area.,QA Engineer,Release 1
EP-04-TS-02,Task,Knowledge Plane: Documentation,"Write service README, runbook, and handoff notes.",,EP-04,EP-04,EP-04-ST-03,Medium,2,Sprint 4,Knowledge,"task,docs,ep-04",EP-04-ST-03,Documentation is complete and reviewed.,Tech Writer,Release 1
EP-05-ST-01,Story,Execution Plane: Define contract and ADRs,"Create detailed contracts, ADRs, and coding conventions for the area.",,EP-05,EP-05,,Critical,3,Sprint 3,Execution,"story,ep-05,execution",EP-03,"Given Execution Plane, when define contract and adrs, then the deliverable is reviewed, tested, and demoable against the contract pack.",Platform Engineer,Release 1
EP-05-ST-02,Story,Execution Plane: Implement service skeleton,"Create service repository/module, health checks, config, and CI integration.",,EP-05,EP-05,,Critical,5,Sprint 3,Execution,"story,ep-05,execution",EP-03,"Given Execution Plane, when implement service skeleton, then the deliverable is reviewed, tested, and demoable against the contract pack.",Platform Engineer,Release 1
EP-05-ST-03,Story,Execution Plane: Implement primary endpoint or worker flow,Deliver the main functional path with tests and tracing.,,EP-05,EP-05,,Critical,8,Sprint 3,Execution,"story,ep-05,execution",EP-03,"Given Execution Plane, when implement primary endpoint or worker flow, then the deliverable is reviewed, tested, and demoable against the contract pack.",Platform Engineer,Release 1
EP-05-ST-04,Story,"Execution Plane: Add policy, validation, and error handling","Add guardrails, validation, and standard error envelope behavior.",,EP-05,EP-05,,Critical,5,Sprint 3,Execution,"story,ep-05,execution",EP-03,"Given Execution Plane, when add policy, validation, and error handling, then the deliverable is reviewed, tested, and demoable against the contract pack.",Platform Engineer,Release 1
EP-05-ST-05,Story,Execution Plane: Add observability and audit hooks,"Emit logs, traces, metrics, and audit events for the area.",,EP-05,EP-05,,Critical,3,Sprint 3,Execution,"story,ep-05,execution",EP-03,"Given Execution Plane, when add observability and audit hooks, then the deliverable is reviewed, tested, and demoable against the contract pack.",Platform Engineer,Release 1
EP-05-ST-06,Story,Execution Plane: Integration and demo readiness,Integrate with dependent services and provide demo evidence.,,EP-05,EP-05,,Critical,5,Sprint 3,Execution,"story,ep-05,execution",EP-03,"Given Execution Plane, when integration and demo readiness, then the deliverable is reviewed, tested, and demoable against the contract pack.",Platform Engineer,Release 1
EP-05-TS-01,Task,Execution Plane: Test automation,"Add unit, integration, and contract tests.",,EP-05,EP-05,EP-05-ST-03,High,3,Sprint 3,Execution,"task,qa,ep-05",EP-05-ST-03,Automated tests pass in CI for the scoped area.,QA Engineer,Release 1
EP-05-TS-02,Task,Execution Plane: Documentation,"Write service README, runbook, and handoff notes.",,EP-05,EP-05,EP-05-ST-03,Medium,2,Sprint 3,Execution,"task,docs,ep-05",EP-05-ST-03,Documentation is complete and reviewed.,Tech Writer,Release 1
EP-06-ST-01,Story,Model & Tool Access: Define contract and ADRs,"Create detailed contracts, ADRs, and coding conventions for the area.",,EP-06,EP-06,,Critical,3,Sprint 3,ModelTool,"story,ep-06,modeltool",EP-02,"Given Model & Tool Access, when define contract and adrs, then the deliverable is reviewed, tested, and demoable against the contract pack.",Platform Engineer,Release 1
EP-06-ST-02,Story,Model & Tool Access: Implement service skeleton,"Create service repository/module, health checks, config, and CI integration.",,EP-06,EP-06,,Critical,5,Sprint 3,ModelTool,"story,ep-06,modeltool",EP-02,"Given Model & Tool Access, when implement service skeleton, then the deliverable is reviewed, tested, and demoable against the contract pack.",Platform Engineer,Release 1
EP-06-ST-03,Story,Model & Tool Access: Implement primary endpoint or worker flow,Deliver the main functional path with tests and tracing.,,EP-06,EP-06,,Critical,8,Sprint 3,ModelTool,"story,ep-06,modeltool",EP-02,"Given Model & Tool Access, when implement primary endpoint or worker flow, then the deliverable is reviewed, tested, and demoable against the contract pack.",Platform Engineer,Release 1
EP-06-ST-04,Story,"Model & Tool Access: Add policy, validation, and error handling","Add guardrails, validation, and standard error envelope behavior.",,EP-06,EP-06,,Critical,5,Sprint 3,ModelTool,"story,ep-06,modeltool",EP-02,"Given Model & Tool Access, when add policy, validation, and error handling, then the deliverable is reviewed, tested, and demoable against the contract pack.",Platform Engineer,Release 1
EP-06-ST-05,Story,Model & Tool Access: Add observability and audit hooks,"Emit logs, traces, metrics, and audit events for the area.",,EP-06,EP-06,,Critical,3,Sprint 3,ModelTool,"story,ep-06,modeltool",EP-02,"Given Model & Tool Access, when add observability and audit hooks, then the deliverable is reviewed, tested, and demoable against the contract pack.",Platform Engineer,Release 1
EP-06-ST-06,Story,Model & Tool Access: Integration and demo readiness,Integrate with dependent services and provide demo evidence.,,EP-06,EP-06,,Critical,5,Sprint 3,ModelTool,"story,ep-06,modeltool",EP-02,"Given Model & Tool Access, when integration and demo readiness, then the deliverable is reviewed, tested, and demoable against the contract pack.",Platform Engineer,Release 1
EP-06-TS-01,Task,Model & Tool Access: Test automation,"Add unit, integration, and contract tests.",,EP-06,EP-06,EP-06-ST-03,High,3,Sprint 3,ModelTool,"task,qa,ep-06",EP-06-ST-03,Automated tests pass in CI for the scoped area.,QA Engineer,Release 1
EP-06-TS-02,Task,Model & Tool Access: Documentation,"Write service README, runbook, and handoff notes.",,EP-06,EP-06,EP-06-ST-03,Medium,2,Sprint 3,ModelTool,"task,docs,ep-06",EP-06-ST-03,Documentation is complete and reviewed.,Tech Writer,Release 1
EP-07-ST-01,Story,Evaluation & Simulation: Define contract and ADRs,"Create detailed contracts, ADRs, and coding conventions for the area.",,EP-07,EP-07,,High,3,Sprint 5,Evaluation,"story,ep-07,evaluation",EP-04,"Given Evaluation & Simulation, when define contract and adrs, then the deliverable is reviewed, tested, and demoable against the contract pack.",ML Engineer,Release 1
EP-07-ST-02,Story,Evaluation & Simulation: Implement service skeleton,"Create service repository/module, health checks, config, and CI integration.",,EP-07,EP-07,,High,5,Sprint 5,Evaluation,"story,ep-07,evaluation",EP-04,"Given Evaluation & Simulation, when implement service skeleton, then the deliverable is reviewed, tested, and demoable against the contract pack.",ML Engineer,Release 1
EP-07-ST-03,Story,Evaluation & Simulation: Implement primary endpoint or worker flow,Deliver the main functional path with tests and tracing.,,EP-07,EP-07,,High,8,Sprint 5,Evaluation,"story,ep-07,evaluation",EP-04,"Given Evaluation & Simulation, when implement primary endpoint or worker flow, then the deliverable is reviewed, tested, and demoable against the contract pack.",ML Engineer,Release 1
EP-07-ST-04,Story,"Evaluation & Simulation: Add policy, validation, and error handling","Add guardrails, validation, and standard error envelope behavior.",,EP-07,EP-07,,High,5,Sprint 5,Evaluation,"story,ep-07,evaluation",EP-04,"Given Evaluation & Simulation, when add policy, validation, and error handling, then the deliverable is reviewed, tested, and demoable against the contract pack.",ML Engineer,Release 1
EP-07-ST-05,Story,Evaluation & Simulation: Add observability and audit hooks,"Emit logs, traces, metrics, and audit events for the area.",,EP-07,EP-07,,High,3,Sprint 5,Evaluation,"story,ep-07,evaluation",EP-04,"Given Evaluation & Simulation, when add observability and audit hooks, then the deliverable is reviewed, tested, and demoable against the contract pack.",ML Engineer,Release 1
EP-07-ST-06,Story,Evaluation & Simulation: Integration and demo readiness,Integrate with dependent services and provide demo evidence.,,EP-07,EP-07,,High,5,Sprint 5,Evaluation,"story,ep-07,evaluation",EP-04,"Given Evaluation & Simulation, when integration and demo readiness, then the deliverable is reviewed, tested, and demoable against the contract pack.",ML Engineer,Release 1
EP-07-TS-01,Task,Evaluation & Simulation: Test automation,"Add unit, integration, and contract tests.",,EP-07,EP-07,EP-07-ST-03,High,3,Sprint 5,Evaluation,"task,qa,ep-07",EP-07-ST-03,Automated tests pass in CI for the scoped area.,QA Engineer,Release 1
EP-07-TS-02,Task,Evaluation & Simulation: Documentation,"Write service README, runbook, and handoff notes.",,EP-07,EP-07,EP-07-ST-03,Medium,2,Sprint 5,Evaluation,"task,docs,ep-07",EP-07-ST-03,Documentation is complete and reviewed.,Tech Writer,Release 1
EP-08-ST-01,Story,"Release, Deployment & Environments: Define contract and ADRs","Create detailed contracts, ADRs, and coding conventions for the area.",,EP-08,EP-08,,High,3,Sprint 6,Release,"story,ep-08,release",EP-05,"Given Release, Deployment & Environments, when define contract and adrs, then the deliverable is reviewed, tested, and demoable against the contract pack.",DevOps Engineer,Release 1
EP-08-ST-02,Story,"Release, Deployment & Environments: Implement service skeleton","Create service repository/module, health checks, config, and CI integration.",,EP-08,EP-08,,High,5,Sprint 6,Release,"story,ep-08,release",EP-05,"Given Release, Deployment & Environments, when implement service skeleton, then the deliverable is reviewed, tested, and demoable against the contract pack.",DevOps Engineer,Release 1
EP-08-ST-03,Story,"Release, Deployment & Environments: Implement primary endpoint or worker flow",Deliver the main functional path with tests and tracing.,,EP-08,EP-08,,High,8,Sprint 6,Release,"story,ep-08,release",EP-05,"Given Release, Deployment & Environments, when implement primary endpoint or worker flow, then the deliverable is reviewed, tested, and demoable against the contract pack.",DevOps Engineer,Release 1
EP-08-ST-04,Story,"Release, Deployment & Environments: Add policy, validation, and error handling","Add guardrails, validation, and standard error envelope behavior.",,EP-08,EP-08,,High,5,Sprint 6,Release,"story,ep-08,release",EP-05,"Given Release, Deployment & Environments, when add policy, validation, and error handling, then the deliverable is reviewed, tested, and demoable against the contract pack.",DevOps Engineer,Release 1
EP-08-ST-05,Story,"Release, Deployment & Environments: Add observability and audit hooks","Emit logs, traces, metrics, and audit events for the area.",,EP-08,EP-08,,High,3,Sprint 6,Release,"story,ep-08,release",EP-05,"Given Release, Deployment & Environments, when add observability and audit hooks, then the deliverable is reviewed, tested, and demoable against the contract pack.",DevOps Engineer,Release 1
EP-08-ST-06,Story,"Release, Deployment & Environments: Integration and demo readiness",Integrate with dependent services and provide demo evidence.,,EP-08,EP-08,,High,5,Sprint 6,Release,"story,ep-08,release",EP-05,"Given Release, Deployment & Environments, when integration and demo readiness, then the deliverable is reviewed, tested, and demoable against the contract pack.",DevOps Engineer,Release 1
EP-08-TS-01,Task,"Release, Deployment & Environments: Test automation","Add unit, integration, and contract tests.",,EP-08,EP-08,EP-08-ST-03,High,3,Sprint 6,Release,"task,qa,ep-08",EP-08-ST-03,Automated tests pass in CI for the scoped area.,QA Engineer,Release 1
EP-08-TS-02,Task,"Release, Deployment & Environments: Documentation","Write service README, runbook, and handoff notes.",,EP-08,EP-08,EP-08-ST-03,Medium,2,Sprint 6,Release,"task,docs,ep-08",EP-08-ST-03,Documentation is complete and reviewed.,Tech Writer,Release 1
EP-09-ST-01,Story,Observability & Audit: Define contract and ADRs,"Create detailed contracts, ADRs, and coding conventions for the area.",,EP-09,EP-09,,Critical,3,Sprint 2,Observability,"story,ep-09,observability",EP-03,"Given Observability & Audit, when define contract and adrs, then the deliverable is reviewed, tested, and demoable against the contract pack.",SRE,Release 1
EP-09-ST-02,Story,Observability & Audit: Implement service skeleton,"Create service repository/module, health checks, config, and CI integration.",,EP-09,EP-09,,Critical,5,Sprint 2,Observability,"story,ep-09,observability",EP-03,"Given Observability & Audit, when implement service skeleton, then the deliverable is reviewed, tested, and demoable against the contract pack.",SRE,Release 1
EP-09-ST-03,Story,Observability & Audit: Implement primary endpoint or worker flow,Deliver the main functional path with tests and tracing.,,EP-09,EP-09,,Critical,8,Sprint 2,Observability,"story,ep-09,observability",EP-03,"Given Observability & Audit, when implement primary endpoint or worker flow, then the deliverable is reviewed, tested, and demoable against the contract pack.",SRE,Release 1
EP-09-ST-04,Story,"Observability & Audit: Add policy, validation, and error handling","Add guardrails, validation, and standard error envelope behavior.",,EP-09,EP-09,,Critical,5,Sprint 2,Observability,"story,ep-09,observability",EP-03,"Given Observability & Audit, when add policy, validation, and error handling, then the deliverable is reviewed, tested, and demoable against the contract pack.",SRE,Release 1
EP-09-ST-05,Story,Observability & Audit: Add observability and audit hooks,"Emit logs, traces, metrics, and audit events for the area.",,EP-09,EP-09,,Critical,3,Sprint 2,Observability,"story,ep-09,observability",EP-03,"Given Observability & Audit, when add observability and audit hooks, then the deliverable is reviewed, tested, and demoable against the contract pack.",SRE,Release 1
EP-09-ST-06,Story,Observability & Audit: Integration and demo readiness,Integrate with dependent services and provide demo evidence.,,EP-09,EP-09,,Critical,5,Sprint 2,Observability,"story,ep-09,observability",EP-03,"Given Observability & Audit, when integration and demo readiness, then the deliverable is reviewed, tested, and demoable against the contract pack.",SRE,Release 1
EP-09-TS-01,Task,Observability & Audit: Test automation,"Add unit, integration, and contract tests.",,EP-09,EP-09,EP-09-ST-03,High,3,Sprint 2,Observability,"task,qa,ep-09",EP-09-ST-03,Automated tests pass in CI for the scoped area.,QA Engineer,Release 1
EP-09-TS-02,Task,Observability & Audit: Documentation,"Write service README, runbook, and handoff notes.",,EP-09,EP-09,EP-09-ST-03,Medium,2,Sprint 2,Observability,"task,docs,ep-09",EP-09-ST-03,Documentation is complete and reviewed.,Tech Writer,Release 1
EP-10-ST-01,Story,Studio & Workflow UI: Define contract and ADRs,"Create detailed contracts, ADRs, and coding conventions for the area.",,EP-10,EP-10,,High,3,Sprint 4,Frontend,"story,ep-10,frontend",EP-03,"Given Studio & Workflow UI, when define contract and adrs, then the deliverable is reviewed, tested, and demoable against the contract pack.",Frontend Engineer,Release 1
EP-10-ST-02,Story,Studio & Workflow UI: Implement service skeleton,"Create service repository/module, health checks, config, and CI integration.",,EP-10,EP-10,,High,5,Sprint 4,Frontend,"story,ep-10,frontend",EP-03,"Given Studio & Workflow UI, when implement service skeleton, then the deliverable is reviewed, tested, and demoable against the contract pack.",Frontend Engineer,Release 1
EP-10-ST-03,Story,Studio & Workflow UI: Implement primary endpoint or worker flow,Deliver the main functional path with tests and tracing.,,EP-10,EP-10,,High,8,Sprint 4,Frontend,"story,ep-10,frontend",EP-03,"Given Studio & Workflow UI, when implement primary endpoint or worker flow, then the deliverable is reviewed, tested, and demoable against the contract pack.",Frontend Engineer,Release 1
EP-10-ST-04,Story,"Studio & Workflow UI: Add policy, validation, and error handling","Add guardrails, validation, and standard error envelope behavior.",,EP-10,EP-10,,High,5,Sprint 4,Frontend,"story,ep-10,frontend",EP-03,"Given Studio & Workflow UI, when add policy, validation, and error handling, then the deliverable is reviewed, tested, and demoable against the contract pack.",Frontend Engineer,Release 1
EP-10-ST-05,Story,Studio & Workflow UI: Add observability and audit hooks,"Emit logs, traces, metrics, and audit events for the area.",,EP-10,EP-10,,High,3,Sprint 4,Frontend,"story,ep-10,frontend",EP-03,"Given Studio & Workflow UI, when add observability and audit hooks, then the deliverable is reviewed, tested, and demoable against the contract pack.",Frontend Engineer,Release 1
